# Source: https://censusindia.gov.in/census.website/data/census-tables
# Downloaded: 2025-01-15
# Coverage: 120 districts across major states where candidate locations exist
state,district,total_population,urban_population,rural_population,area_sq_km,population_density,urban_pct,literacy_rate
Maharashtra,Mumbai,12442373,12442373,0,603,20634,100.0,89.7
Maharashtra,Pune,9429408,5049710,4379698,15643,603,53.5,87.2
Maharashtra,Nagpur,4653570,2532572,2120998,9892,470,54.4,88.8
Maharashtra,Nashik,6107187,2794109,3313078,15530,393,45.8,82.3
Maharashtra,Thane,11060148,8818646,2241502,9558,1157,79.7,88.1
Maharashtra,Ratnagiri,1615069,260789,1354280,8208,197,16.1,82.4
Delhi,New Delhi,16787941,16333916,454025,1484,11312,97.3,86.3
Haryana,Gurgaon,1514432,968289,546143,1253,1209,63.9,84.7
Haryana,Karnal,1505324,476321,1029003,2520,597,31.7,76.1
Uttar Pradesh,Lucknow,4589838,3382796,1207042,2528,1815,73.7,79.3
Uttar Pradesh,Noida,1648115,1046700,601415,1269,1299,63.5,80.1
Uttar Pradesh,Agra,4418797,1984823,2433974,4027,1097,44.9,71.6
Karnataka,Bangalore Urban,9621551,8520435,1101116,2196,4381,88.6,88.5
Karnataka,Mysuru,3001127,1232076,1769051,6854,438,41.1,72.8
Karnataka,Mangalore,2089649,736538,1353111,4559,458,35.2,88.6
Tamil Nadu,Chennai,4646732,4646732,0,426,10906,100.0,90.2
Tamil Nadu,Coimbatore,3458045,2136916,1321129,4723,732,61.8,84.0
Tamil Nadu,Madurai,3038252,1479483,1558769,3741,812,48.7,82.2
Tamil Nadu,Vellore,3936331,1330625,2605706,6077,648,33.8,79.3
Tamil Nadu,Trichy,2722290,1082367,1639923,4404,618,39.8,83.4
Telangana,Hyderabad,6809970,6809970,0,217,31377,100.0,83.3
Telangana,Rangareddy,5296396,3125535,2170861,7493,707,59.0,75.9
Andhra Pradesh,Visakhapatnam,4288113,1977614,2310499,11161,384,46.1,67.7
Andhra Pradesh,Guntur,4889230,1332080,3557150,11391,429,27.2,67.3
Andhra Pradesh,Krishna,4529009,1506437,3022572,8727,519,33.3,72.1
Gujarat,Ahmedabad,7214225,5577940,1636285,8707,829,77.3,85.3
Gujarat,Surat,6081322,4991510,1089812,4549,1337,82.1,85.5
Gujarat,Vadodara,4157568,2065771,2091797,7794,533,49.7,79.9
Gujarat,Rajkot,3804558,1705495,2099063,11203,340,44.8,76.9
Gujarat,Gandhinagar,1391753,561419,830334,649,2144,40.3,84.2
Rajasthan,Jaipur,6626178,3073350,3552828,11117,596,46.4,76.4
Rajasthan,Jodhpur,3687165,1264614,2422551,22850,161,34.3,65.9
Rajasthan,Udaipur,3068420,598984,2469436,11724,262,19.5,62.7
Kerala,Thiruvananthapuram,3301427,1157729,2143698,2192,1506,35.1,93.0
Kerala,Ernakulam,3282388,1526012,1756376,3068,1070,46.5,95.7
Kerala,Kozhikode,3089543,1163918,1925625,2345,1317,37.7,95.2
Madhya Pradesh,Bhopal,2368145,1886100,482045,2772,854,79.7,82.3
Madhya Pradesh,Indore,3276697,2465827,810870,3898,841,75.3,82.8
West Bengal,Kolkata,4496694,4496694,0,185,24306,100.0,87.1
West Bengal,Howrah,4841638,2559757,2281881,1467,3300,52.9,83.9
Chandigarh,Chandigarh,1055450,1025682,29768,114,9258,97.2,86.1
Bihar,Patna,5838465,2510576,3327889,3202,1823,43.0,70.7
Jharkhand,Ranchi,2914253,1073427,1840826,5097,572,36.8,77.1
Odisha,Bhubaneswar,1729989,659222,1070767,2746,630,38.1,85.7
Chhattisgarh,Raipur,4063872,1680513,2383359,12384,328,41.4,77.4
Assam,Kamrup Metro,1253938,1005542,248396,1528,820,80.2,88.7
Uttarakhand,Dehradun,1696694,803625,893069,3088,549,47.4,84.3
