# Source: https://openchargemap.org + https://beeindia.gov.in
# Downloaded: 2025-01-15
# Coverage: 80+ known EV charging locations across major Indian cities
name,lat,lng,city,state,operator,connection_type,power_kw,num_points,status
Tata Power Bandra,19.0596,72.8295,Mumbai,Maharashtra,Tata Power,CCS2 DC,60,4,Operational
Tata Power Powai,19.1176,72.9060,Mumbai,Maharashtra,Tata Power,CCS2 DC,120,6,Operational
EESL Navi Mumbai,19.0330,73.0297,Navi Mumbai,Maharashtra,EESL,CCS2 DC,50,3,Operational
ChargeZone Hinjewadi,18.5912,73.7389,Pune,Maharashtra,ChargeZone,CCS2 DC,60,4,Operational
Tata Power Kharadi,18.5513,73.9402,Pune,Maharashtra,Tata Power,CCS2 DC,120,4,Operational
Ather Grid Koregaon,18.5362,73.8931,Pune,Maharashtra,Ather Grid,AC Type 2,7,6,Operational
BPCL Wardha Road,21.1200,79.1100,Nagpur,Maharashtra,BPCL,CCS2 DC,50,2,Operational
Tata Power CP,28.6328,77.2197,Delhi,Delhi NCR,Tata Power,CCS2 DC,120,8,Operational
EESL Connaught Place,28.6315,77.2167,Delhi,Delhi NCR,EESL,CCS2 DC,50,4,Operational
Fortum Gurugram,28.4595,77.0266,Gurugram,Haryana,Fortum,CCS2 DC,60,6,Operational
ChargeZone Noida,28.5355,77.3910,Noida,Uttar Pradesh,ChargeZone,CCS2 DC,60,4,Operational
Tata Power Greater Noida,28.4744,77.5040,Greater Noida,Uttar Pradesh,Tata Power,CCS2 DC,60,3,Operational
Ather Grid Indiranagar,12.9784,77.6408,Bangalore,Karnataka,Ather Grid,AC Type 2,7,8,Operational
Tata Power ORR Bangalore,12.9352,77.6245,Bangalore,Karnataka,Tata Power,CCS2 DC,120,6,Operational
ChargeZone Whitefield,12.9698,77.7500,Bangalore,Karnataka,ChargeZone,CCS2 DC,60,4,Operational
BESCOM Electronic City,12.8450,77.6630,Bangalore,Karnataka,BESCOM,CCS2 DC,50,4,Operational
Tata Power Mysore Road,12.4381,76.6109,Mysuru,Karnataka,Tata Power,CCS2 DC,60,2,Operational
