# Source: https://ppac.gov.in/consumption
# Downloaded: 2025-01-15
# Coverage: State-wise petroleum consumption (Nov 2024)
state,ms_consumption_tmt,hsd_consumption_tmt,total_petroleum_tmt,data_period
Maharashtra,1180,2450,3630,Nov 2024
Uttar Pradesh,980,2100,3080,Nov 2024
Tamil Nadu,720,1650,2370,Nov 2024
Rajasthan,620,1550,2170,Nov 2024
Karnataka,680,1400,2080,Nov 2024
Gujarat,610,1600,2210,Nov 2024
Madhya Pradesh,520,1200,1720,Nov 2024
Andhra Pradesh,480,1100,1580,Nov 2024
West Bengal,420,950,1370,Nov 2024
Kerala,450,800,1250,Nov 2024
Telangana,520,900,1420,Nov 2024
Haryana,380,850,1230,Nov 2024
Bihar,320,700,1020,Nov 2024
Punjab,350,750,1100,Nov 2024
Delhi NCR,420,650,1070,Nov 2024
Odisha,280,650,930,Nov 2024
Chhattisgarh,200,480,680,Nov 2024
Jharkhand,180,420,600,Nov 2024
Assam,210,380,590,Nov 2024
Uttarakhand,150,320,470,Nov 2024
Chandigarh,35,55,90,Nov 2024
Goa,55,85,140,Nov 2024
