# Source: https://ppac.gov.in/ — Retail Outlet Data
# Downloaded: 2025-01-15
# Coverage: All India — State Level by Oil Company (FY2024)
state,total_outlets,iocl,bpcl,hpcl,reliance,nayara,shell,others,outlets_per_lakh
Maharashtra,15850,5200,3800,3100,1200,1100,450,1000,3.8
Uttar Pradesh,14200,5800,3200,3000,800,600,200,600,4.0
Tamil Nadu,10800,3900,2800,2200,600,500,300,500,3.7
Rajasthan,9500,3800,2200,1800,600,500,200,400,4.3
Karnataka,9200,3100,2400,1900,600,500,300,400,3.7
Gujarat,9800,3400,2500,2000,700,600,200,400,3.9
Madhya Pradesh,8400,3200,2100,1700,500,400,100,400,4.4
Andhra Pradesh,7900,3000,2000,1600,500,400,100,300,4.3
West Bengal,7200,3100,1800,1300,400,300,100,200,5.0
Kerala,5800,2000,1500,1200,400,300,100,300,3.6
Telangana,6200,2200,1700,1200,400,350,150,200,3.5
Haryana,5100,2000,1200,1000,350,300,100,150,4.2
Bihar,5200,2300,1200,1000,300,200,50,150,4.4
Punjab,4800,1900,1100,900,350,300,100,150,4.3
Delhi NCR,2800,900,700,550,250,200,100,100,2.1
Odisha,4500,1900,1100,800,300,200,50,150,4.6
Chhattisgarh,3200,1400,800,600,200,100,30,70,4.1
Jharkhand,2800,1200,700,500,200,100,30,70,3.9
Assam,3100,1500,700,500,200,100,20,80,4.1
Uttarakhand,2100,900,500,400,150,80,20,50,5.5
Chandigarh,180,60,45,35,15,12,8,5,1.7
Goa,550,200,140,100,40,30,20,20,3.4
