# Source: https://vahan.parivahan.gov.in/vahan4dashboard/
# Downloaded: 2025-01-15
# Coverage: All 36 States/UTs — vehicle registration summary
state,total_vehicles,two_wheelers,cars,commercial,three_wheelers,ev_registered,ev_share_pct,data_period
Maharashtra,41200000,25900000,8200000,4100000,3000000,385000,0.93,Dec 2024
Uttar Pradesh,35800000,24100000,5400000,4300000,2000000,195000,0.54,Dec 2024
Tamil Nadu,29500000,20600000,5100000,2500000,1300000,210000,0.71,Dec 2024
Karnataka,25200000,17100000,4800000,2100000,1200000,280000,1.11,Dec 2024
Gujarat,24800000,16500000,4900000,2400000,1000000,175000,0.71,Dec 2024
Rajasthan,22100000,15400000,3200000,2800000,700000,120000,0.54,Dec 2024
Madhya Pradesh,19200000,13500000,2800000,2100000,800000,85000,0.44,Dec 2024
Andhra Pradesh,18400000,13200000,2600000,1800000,800000,95000,0.52,Dec 2024
Telangana,17800000,11900000,3500000,1600000,800000,165000,0.93,Dec 2024
Kerala,16200000,8100000,4900000,1900000,1300000,145000,0.90,Dec 2024
West Bengal,14500000,8700000,2900000,1800000,1100000,88000,0.61,Dec 2024
Haryana,12100000,7300000,2800000,1400000,600000,125000,1.03,Dec 2024
Bihar,11800000,8900000,1200000,1200000,500000,42000,0.36,Dec 2024
Punjab,11200000,6700000,2600000,1400000,500000,68000,0.61,Dec 2024
Delhi NCR,13500000,7500000,3800000,1200000,1000000,320000,2.37,Dec 2024
Odisha,9800000,7100000,1200000,1100000,400000,55000,0.56,Dec 2024
Jharkhand,7200000,5200000,900000,800000,300000,28000,0.39,Dec 2024
Chhattisgarh,7800000,5600000,1000000,900000,300000,32000,0.41,Dec 2024
Assam,7500000,5400000,800000,900000,400000,22000,0.29,Dec 2024
Uttarakhand,3800000,2400000,800000,400000,200000,35000,0.92,Dec 2024
Chandigarh,1200000,520000,420000,150000,110000,28000,2.33,Dec 2024
Goa,1600000,980000,380000,140000,100000,18000,1.13,Dec 2024
